Modelo,RMSE,MAE,R2 Score,MSE,Tempo Treino (s)
XGB,0.19835312346764047,0.16440477132254994,0.5919625078257318,0.03934396158936902,0.0
RF,0.23495372332209802,0.20465159849585077,0.42748529537949387,0.05520325210291699,0.0
SVR,0.23678550697940853,0.20379116311662904,0.4185234353536117,0.05606737631549552,0.0
BILSTM,0.2504780132682408,0.20331700985707585,0.3493293728046265,0.06273923513080502,197.45
DT,0.25617448969646606,0.20078836308193893,0.3193971837629912,0.06562536917124479,0.0
GRU,0.3110152308643354,0.24491569750761255,-0.0031948579606664307,0.09673047382959585,203.49
LSTM,0.31468203053738086,0.27446133965201414,-0.026989184669091948,0.0990247803431291,343.85
LSTM_RNN,0.3148364629803733,0.27456794434978715,-0.027997436494549666,0.09912199842199199,329.36
KNN,0.3615606811014462,0.2592777099471527,-0.35576486221153525,0.13072612611854165,0.0
CNN_LSTM,0.4732419532843596,0.39646814793978,-1.322675071063284,0.223957946348396,205.13
